etID  | Input | Late Latin | Output {GOLD}
0      | #mˌan̪d̪ˈaːre# | *#mˌɑn̪d̪ˈɑrɛ# | *#mən̪ˈa# {GOLD: #mən̪ˈa#}
1      | #sˌen̪t̪ˈiːre# | *#sˌɛn̪t̪ˈirɛ# | *#sin̪t̪ˈi# {GOLD: #sən̪t̪ˈi#}
2      | #kˌat̪ˈeːn̪a# | *#kˌɑt̪ˈen̪ɑ# | *#kəðˈɛn̪ə# {GOLD: #kaðˈɛn̪ə#}
3      | #pˌawsˈaːre# | *#pˌɑwsˈɑrɛ# | *#puzˈa# {GOLD: #puzˈa#}
4      | #d̪ˈebit̪um# | *#d̪ˈɛβet̪o# | *#d̪ˈewt̪# {GOLD: #d̪ˈɛwt̪ə#}
5      | #bˈibere# | *#bˈeβɛrɛ# | *#bˈewr# {GOLD: #bˈɛwɾə#}
6      | #pˌarˈeːt̪em# | *#pˌɑrˈet̪ɛ# | *#pəɾˈet̪# {GOLD: #pəɾˈɛt̪#}
7      | #pˈiram# | *#pˈerɑ# | *#pˈɛɾə# {GOLD: #pˈɛɾə#}
8      | #krˈist̪am# | *#krˈest̪ɑ# | *#ɡrˈest̪ə# {GOLD: #kɾˈɛst̪ə#}
9      | #sˈiliam# | *#sˈelʝɑ# | *#sˈeʎə# {GOLD: #sˈɛʎə#}
10     | #kˌapˈillum# | *#kˌɑpˈello# | *#kəβˈeʎ# {GOLD: #kəβˈɛʎ#}
11     | #ˌimpˈin̪ɡere# | *#ˌempˈeŋɟɛrɛ# | *#impˈeɲr# {GOLD: #əmpˈɛɲə#}
12     | #st̪rˈikt̪um# | *#ˌest̪rˈext̪o# | *#isrˈet̪# {GOLD: #əst̪ɾˈɛt̪#}
13     | #ˌowˈikulam# | *#ˌɔβʷˈeklɑ# | *#uβˈeʎə# {GOLD: #uβˈɛʎə#}
14     | #rˈeːɡulam# | *#rˈeɡlɑ# | *#rˈeʎə# {GOLD: #rˈɛʎə#}
15     | #kˌorrˈiɡiam# | *#kˌɔrrˈeʝʝɑ# | *#kurˈiʒə# {GOLD: #kurˈɛd͡ʒə#}
16     | #sˈikum# | *#sˈeko# | *#sˈek# {GOLD: #sˈɛk#}
17     | #wˈiːwere# | *#βʷˈiβʷɛrɛ# | *#bˈiwr# {GOLD: #bˈiwɾə#}
18     | #rˈiːwum# | *#rˈiβʷo# | *#rˈiw# {GOLD: #rˈiw#}
19     | #fˈiːlum# | *#fˈilo# | *#fˈil# {GOLD: #fˈil#}
20     | #ɡˌallˈiːn̪am# | *#ɡˌɑllˈin̪ɑ# | *#ɡəʎˈin̪ə# {GOLD: #ɡəʎin̪ə#}
21     | #bˈiːn̪um# | *#bˈin̪o# | *#bˈi# {GOLD: #bˈi#}
22     | #ˌaprˈiːlem# | *#ˌɑprˈilɛ# | *#əwrˈil# {GOLD: #əβɾˈil#}
23     | #ˌae̯st̪ˈiːwum# | *#ˌɛst̪ˈiβʷo# | *#əst̪ˈiw# {GOLD: #əst̪ˈiw#}
24     | #ˌamˈiːkum# | *#ˌɑmˈiko# | *#əmˈik# {GOLD: #əmˈik#}
25     | #spˈiːkam# | *#ˌespˈikɑ# | *#əspˈiɣə# {GOLD: #əspˈiɣə#}
26     | #bˌowˈiːn̪um# | *#bˌɔβʷˈin̪o# | *#buβˈi# {GOLD: #bˈujn̪ə#}
27     | #kˌokˈiːn̪am# | *#kˌɔcˈin̪ɑ# | *#kuzˈin̪ə# {GOLD: #kˈujn̪ə#}
28     | #krˌukˈiːkulam# | *#krˌocˈiklɑ# | *#ɡruzˈilə# {GOLD: #kɾˈujə#}
29     | #rˌeːɡˈiːn̪am# | *#rˌeʝˈin̪ɑ# | *#riʒˈin̪ə# {GOLD: #rˈejn̪ə#}
30     | #frˈiːɡid̪um# | *#frˈiɡd̪o# | *#frˈizu# {GOLD: #fɾˈɛt#}
31     | #fˈiːn̪is# | *#fˈin̪es# | *#fˈin̪s# {GOLD: #fˈin̪s#}
32     | #fˈebrem# | *#fˈɛβrɛ# | *#fˈewrə# {GOLD: #fˈeβɾə#}
33     | #t̪ˈempus# | *#t̪ˈɛmpos# | *#t̪ˈɛmpus# {GOLD: #t̪ˈems#}
34     | #lˈeporem# | *#lˈɛpɔrɛ# | *#ʎˈepr# {GOLD: #ʎˈeβɾə#}
35     | #wˈen̪t̪um# | *#βʷˈɛn̪t̪o# | *#bˈɛn̪t̪# {GOLD: #bˈen#}
36     | #wˈesperum# | *#βʷˈɛspɛro# | *#bˈespə# {GOLD: #bˈespɾə#}
37     | #hˈerbam# | *#hˈɛrbɑ# | *#ˈɛrbə# {GOLD: #ˈerbə#}
38     | #pˈersikum# | *#pˈɛrseko# | *#pˈesək# {GOLD: #pɾˈesək#}
39     | #pˈellem# | *#pˈɛllɛ# | *#pˈɛʎ# {GOLD: #pˈeʎ#}
40     | #kˌast̪ˈellum# | *#kˌɑst̪ˈɛllo# | *#kəst̪ˈɛʎ# {GOLD: #kəst̪ˈeʎ#}
41     | #ˌalˈekrem# | *#ˌɑlˈɛkrɛ# | *#əlˈeɣrə# {GOLD: #əlˈeɣɾə#}
42     | #ˈekwam# | *#ˈɛkwɑ# | *#ˈeɣwə# {GOLD: #ˈeɣwə#}
43     | #kˈae̯kum# | *#cˈɛko# | *#sˈek# {GOLD: #sˈek#}
44     | #kˈae̯lum# | *#cˈɛlo# | *#sˈɛl# {GOLD: #sˈɛl#}
45     | #fˈel# | *#fˈɛl# | *#fˈɛl# {GOLD: #fˈɛl#}
46     | #ɡˈelum# | *#ɟˈɛlo# | *#ʒˈɛl# {GOLD: #ʒˈɛl#}
47     | #mˈel# | *#mˈɛl# | *#mˈɛl# {GOLD: #mˈɛl#}
48     | #fˈerrum# | *#fˈɛrro# | *#fˈɛr# {GOLD: #fˈɛru#}
49     | #t̪ˈerram# | *#t̪ˈɛrrɑ# | *#t̪ˈɛrə# {GOLD: #t̪ˈɛrə#}
50     | #sˈerram# | *#sˈɛrrɑ# | *#sˈɛrə# {GOLD: #sərˈa#}
51     | #ˌapˈert̪um# | *#ˌɑpˈɛrt̪o# | *#əβˈɛrt̪# {GOLD: #uβˈɛrt̪#}
52     | #hˌiːbˈern̪um# | *#hˌiβˈɛrn̪o# | *#iβˈɛ# {GOLD: #iβˈɛrn#}
53     | #lˌan̪t̪ˈern̪am# | *#lˌɑn̪t̪ˈɛrn̪ɑ# | *#ʎən̪t̪ˈɛrn̪ə# {GOLD: #ʎən̪t̪ˈɛrn̪ə#}
54     | #lˌukˈern̪am# | *#lˌocˈɛrn̪ɑ# | *#ʎuzˈɛrn̪ə# {GOLD: #ʎuˈɛrn̪ə#}
55     | #mˈerulam# | *#mˈɛrlɑ# | *#mˈɛrlə# {GOLD: #mˈɛrlə#}
56     | #pˈerd̪ere# | *#pˈɛrd̪ɛrɛ# | *#pˈeðə# {GOLD: #pˈɛrd̪ɾə#}
57     | #t̪ˈert̪ium# | *#t̪ˈɛrt͡sʲʝo# | *#t̪ˈes# {GOLD: #t̪ˈɛrs#}
58     | #d̪ˈiewˈen̪eris# | *#d̪ˌixβʷˈɛn̪res# | *#d̪ixbˈɛn̪d̪rəs# {GOLD: #d̪iβˈɛn̪d̪ɾəs#}
59     | #ɡˈen̪erum# | *#ɟˈɛn̪ro# | *#ʒˈɛn̪d̪r# {GOLD: #ʒˈɛn̪d̪ɾə#}
60     | #t̪ˈen̪erum# | *#t̪ˈɛn̪ro# | *#t̪ˈɛn̪d̪r# {GOLD: #t̪ˈɛn̪d̪ɾə#}
61     | #pˈed̪em# | *#pˈɛd̪ɛ# | *#pˈew# {GOLD: #pˈɛw#}
62     | #sˈed̪et̪# | *#sˈɛd̪ɛt̪# | *#sˈew# {GOLD: #sˈɛw#}
63     | #d̪ˈekem# | *#d̪ˈɛcɛ# | *#d̪ˈes# {GOLD: #d̪ˈɛw#}
64     | #d̪ˈekimum# | *#d̪ˈɛcemo# | *#d̪ˈɛjm# {GOLD: #d̪ˈɛwmə#}
65     | #prˈet̪ium# | *#prˈɛt͡sʲʝo# | *#brˈes# {GOLD: #pɾˈɛw#}
